#     x (arcsec)      y (arcsec)              g1              g2               z
        786.1975       -452.6339         -0.5854          0.4587           4.438
        113.3551       -326.8809         -0.3490          0.5334           0.471
       -272.9526        463.2074          0.8136         -0.0065           1.636
       -634.5133        136.4776          0.1415          0.0845           0.530
        -93.8078       -732.8885         -0.3671          0.2064           0.547
       -122.9987        779.8092          0.3139          0.0407           2.423
       -567.6088         33.7679         -0.5263         -0.0431           2.802
        820.3488        849.3613          0.4586         -0.5853           2.411
        404.2712       -330.1611          0.1542         -0.0837           0.614
        610.0138        645.5210          0.6086         -0.0531           3.740
       -702.9097       -363.0089          0.4310         -0.1357           3.013
        -23.4999        890.3495         -0.6170          0.1723           3.582
       -653.5638        -66.0098         -0.0824          0.2621           2.385
       -572.3590       -712.5172          0.0336          0.2527           5.988
       -559.7973        565.7670         -0.0553         -0.1780           2.365
       -353.6279       -667.8283          0.2139          0.1231           1.426
       -244.9131        777.4223          0.5156         -0.4960           5.770
        803.1382       -679.1967          0.4297          0.6026           1.155
       -883.9768        611.3722         -0.1633          0.1235           0.620
       -489.4035       -721.3732         -0.0643         -0.4965           3.061
         78.5618       -306.7567          0.3645          0.3306           5.620
        889.0255        681.8055         -0.0808         -0.0004           5.810
        698.9440       -446.0113         -0.2713         -0.5405           1.920
       -469.8865       -513.5647          0.4570         -0.5180           1.525
        748.9189       -260.3197         -0.7253          0.3166           1.212
        772.8176        871.1553          0.0699          0.3127           4.266
        681.1235       -492.0743          0.3833         -0.2440           3.146
       -596.0079        250.5965          0.0769          0.1904           4.959
       -771.2916       -536.1344          0.0888          0.1160           0.966
        648.0002         56.0307         -0.4685          0.1673           2.923
        140.6827         99.8371         -0.2114          0.1295           3.780
        348.8353        761.2861          0.7587         -0.0063           5.453
       -595.7900        530.6085         -0.3075          0.1610           2.637
        274.5460        724.6996         -0.1870          0.2363           4.862
        507.1834        741.5980          0.2255         -0.0799           3.110
        690.8962        -43.1737          0.3344          0.2082           5.654
       -237.4979       -567.2136          0.0186         -0.0008           1.039
        854.5044        889.2628         -0.5597         -0.5421           0.635
       -165.2902       -830.0556          0.0828         -0.2197           2.984
        733.7118       -147.8461          0.1760          0.0449           0.446
        591.5806        615.1696          0.4554         -0.1361           2.309
        263.6065       -848.0647          0.6426         -0.2862           3.352
        872.3517        460.3016          0.1032          0.1201           1.549
       -625.7638        698.8864          0.1049          0.2579           1.277
        802.7692        195.4378         -0.3452          0.1224           1.731
       -363.8156         73.8520          0.1430         -0.1700           3.100
        226.8522       -867.5571          0.0223         -0.4687           0.462
        800.7699       -389.6299         -0.2399          0.4979           5.242
        474.7897       -633.3003          0.0602         -0.0203           0.481
        393.6591        354.6865          0.4725          0.1613           3.482
        627.4626       -355.3769         -0.1241          0.2339           1.621
       -661.6942       -120.3496          0.1023         -0.0774           3.876
        477.5282        -69.3166         -0.1115         -0.0011           2.374
       -260.2457        669.4656          0.5804          0.3214           1.875
        256.0542         35.6090         -0.4785         -0.2349           1.674
        794.3920        127.9318         -0.0167         -0.1258           5.549
        509.9933       -844.9443         -0.0786          0.2660           4.194
       -648.4627       -191.0775         -0.1508         -0.4608           0.866
       -846.9155       -133.6004         -0.5626         -0.1144           5.956
       -799.1942       -176.1102         -0.1376          0.0209           1.734
       -540.0093        281.3055         -0.1466         -0.1609           5.398
       -735.6657        495.7883         -0.0914          0.0829           1.347
       -108.5677       -686.4928         -0.0377          0.0630           1.982
        395.5828       -489.5079          0.7534          0.2383           2.446
        -51.1028       -418.4072         -0.1275         -0.2220           5.080
        350.6035        266.0068          0.0904         -0.2771           4.093
       -585.8283        315.7132          0.1069          0.0408           1.425
        352.5326        574.1965         -0.0059         -0.5813           5.715
        750.9326        290.5942          0.0856         -0.1697           2.206
        -84.7077       -782.5540          0.0390         -0.0620           0.887
       -136.3749        733.2528          0.0255         -0.0732           4.888
        282.7997       -675.8767         -0.0602         -0.3332           1.431
       -236.0409        400.7701         -0.4024         -0.3461           1.296
       -766.0964        474.9788          0.2308          0.3298           2.890
       -282.3677        817.3562          0.2492          0.0242           4.698
       -791.0011        603.6017          0.3418          0.0396           3.593
       -389.5100        848.2626          0.1902         -0.0900           5.885
        -59.1500        620.7872          0.2903         -0.0783           4.654
        -20.6091        380.3869          0.7420          0.0888           5.584
       -394.0733       -573.6480          0.4217          0.2126           2.620
        393.3174       -348.6887          0.0600          0.6819           4.410
        -70.2939        855.1180         -0.2126         -0.4930           3.943
       -586.3252        638.5695          0.4855         -0.3846           2.493
       -466.9836        881.8172         -0.0382         -0.2428           4.270
       -274.2857       -630.4914          0.0130         -0.1074           3.978
        837.4023       -881.3783         -0.1474          0.0123           1.057
        634.2121       -882.6325         -0.6589          0.0624           1.981
         55.5422        586.0173          0.2551         -0.0548           4.789
       -557.9986       -173.8775          0.0103          0.0893           1.903
        618.9676        656.8642         -0.0300          0.0093           3.624
       -684.7832        826.0220         -0.0483          0.0605           2.221
       -844.4366         65.9554         -0.3823         -0.0563           5.799
       -555.2163        645.3786          0.5585         -0.3359           0.877
       -747.8999        864.9958          0.6621         -0.4076           1.713
        444.9606        758.8679          0.0651          0.4090           5.417
       -844.6690       -862.6882          0.0114          0.0457           2.892
        756.0480        818.8160          0.1825         -0.7444           4.372
        826.6584       -709.1145         -0.0844         -0.2448           0.873
       -728.7139       -164.0659         -0.1946         -0.0624           4.071
       -888.9588       -506.5932         -0.7360          0.3153           4.894
       -542.4505       -642.8725          0.2122         -0.0807           4.373
         -5.2527        597.6752          0.0029         -0.0117           2.986
        848.2726       -328.0074         -0.1134         -0.4119           5.754
       -457.0902        378.0196          0.1553          0.3652           5.746
       -603.0563        358.4506          0.1198          0.1654           4.455
       -692.2108        215.5669         -0.0467         -0.2249           3.739
         95.9576        389.0358         -0.1746         -0.1060           0.878
        340.3754       -442.0758         -0.2944          0.0846           1.326
        107.4738       -759.6001          0.0860         -0.5725           4.666
        382.8721       -285.8140         -0.1078         -0.2399           4.350
       -295.4757        301.4452         -0.2019          0.2143           4.741
       -353.8876        473.4051         -0.7207         -0.2045           1.235
        356.0942       -582.3190          0.4518         -0.4756           3.092
       -197.2771        379.2868         -0.3943          0.4866           1.865
        450.0909        227.8258         -0.0349         -0.2520           4.411
        145.8755       -855.3913          0.1720         -0.0378           5.680
       -757.8613        720.8650          0.0624          0.3886           4.949
        659.4839        -19.8936         -0.0348         -0.2733           1.958
       -264.7982       -308.2432          0.0725         -0.0050           0.849
       -611.0119       -840.7605         -0.0371          0.0915           0.697
       -727.7435        252.9050          0.3032          0.1535           1.137
       -160.6789        305.6461          0.2599          0.2370           5.504
        655.5407       -644.9634          0.2817         -0.0341           3.885
       -483.4894       -740.3602         -0.0791         -0.2496           0.795
        401.9769        293.4744          0.0751         -0.1442           5.954
       -610.7343       -333.3149         -0.7843          0.0988           5.437
       -415.9114        386.4962         -0.2884          0.0369           1.399
        -91.6460        789.1954          0.2201          0.2154           4.406
        587.4942       -440.8121         -0.1446          0.2449           2.721
        127.2007        681.9619         -0.0552          0.1847           0.924
        541.7091       -885.7602          0.0964          0.6124           4.839
       -894.0424       -193.7653          0.0473          0.0405           0.481
        598.0442        367.0507         -0.1229         -0.1656           4.206
        556.5772       -637.6969         -0.3364         -0.0767           3.197
        834.7319        -48.0862          0.2239          0.0470           2.551
         -8.5229       -248.8434         -0.0264          0.1760           1.193
